timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769249180030,3434,Portal:Science,200,OK,Thread Group 3: Custom 3-7,text,true,,340692,845,20,20,https://en.wikipedia.org/wiki/Portal:Science,199,0,0
1769249180030,199,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-7,text,true,,1262,423,20,20,https://www.wikipedia.org/wiki/Portal:Science,199,0,0
1769249180229,3235,Portal:Science-1,200,OK,Thread Group 3: Custom 3-7,text,true,,339430,422,20,20,https://en.wikipedia.org/wiki/Portal:Science,475,0,0
1769249178395,5139,Main Page,200,OK,Thread Group 3: Custom 3-4,text,true,,234250,573,20,20,https://en.wikipedia.org/wiki/Main_Page,260,0,0
1769249178395,260,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-4,text,true,,1836,210,20,20,https://www.wikipedia.org/wiki/Main_Page,260,0,0
1769249178656,4878,Main Page-1,200,OK,Thread Group 3: Custom 3-4,text,true,,232414,363,20,20,https://en.wikipedia.org/wiki/Main_Page,547,0,0
1769249181714,1974,Main Page,200,OK,Thread Group 3: Custom 3-10,text,true,,234250,573,20,20,https://en.wikipedia.org/wiki/Main_Page,167,0,0
1769249181714,167,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-10,text,true,,1836,210,20,20,https://www.wikipedia.org/wiki/Main_Page,167,0,0
1769249181881,1807,Main Page-1,200,OK,Thread Group 3: Custom 3-10,text,true,,232414,363,20,20,https://en.wikipedia.org/wiki/Main_Page,233,0,0
1769249181660,2164,Portal:Science,200,OK,Thread Group 3: Custom 3-17,text,true,,340692,845,20,20,https://en.wikipedia.org/wiki/Portal:Science,213,0,0
1769249181660,214,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-17,text,true,,1262,423,20,20,https://www.wikipedia.org/wiki/Portal:Science,213,0,0
1769249181874,1950,Portal:Science-1,200,OK,Thread Group 3: Custom 3-17,text,true,,339430,422,20,20,https://en.wikipedia.org/wiki/Portal:Science,171,0,0
1769249181638,2413,Portal:Science,200,OK,Thread Group 3: Custom 3-1,text,true,,340692,845,20,20,https://en.wikipedia.org/wiki/Portal:Science,224,0,0
1769249181638,224,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-1,text,true,,1262,423,20,20,https://www.wikipedia.org/wiki/Portal:Science,224,0,0
1769249181862,2189,Portal:Science-1,200,OK,Thread Group 3: Custom 3-1,text,true,,339430,422,20,20,https://en.wikipedia.org/wiki/Portal:Science,194,0,0
1769249180351,3738,Main Page,200,OK,Thread Group 3: Custom 3-3,text,true,,234250,573,20,20,https://en.wikipedia.org/wiki/Main_Page,313,0,0
1769249180351,313,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-3,text,true,,1836,210,20,20,https://www.wikipedia.org/wiki/Main_Page,313,0,0
1769249180665,3424,Main Page-1,200,OK,Thread Group 3: Custom 3-3,text,true,,232414,363,20,20,https://en.wikipedia.org/wiki/Main_Page,524,0,0
1769249178105,5991,Portal:Science,200,OK,Thread Group 3: Custom 3-15,text,true,,340692,845,20,20,https://en.wikipedia.org/wiki/Portal:Science,120,0,0
1769249178105,120,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-15,text,true,,1262,423,20,20,https://www.wikipedia.org/wiki/Portal:Science,120,0,0
